,title,year,link,rating,votes,genre,runtime
0,Шестое чувство,1999,/title/tt0167404/,8.1,841690,"Drama, Mystery, Thriller",107 min
1,Разум и чувства,1995,/title/tt0114388/,7.7,91830,"Drama, Romance",136 min
2,Коррида любви,1976,/title/tt0074102/,6.6,16311,"Drama, Romance",109 min
3,Последняя любовь на Земле,2011,/title/tt1439572/,7.1,51050,"Drama, Romance, Sci-Fi",92 min
4,Разум и чувства,2008,/title/tt0847150/,8.0,9377,"Drama, Romance",174 min
5,Предчувствие конца,2017,/title/tt4827986/,6.3,4974,"Drama, Mystery",108 min
6,The Sixth Sense,1972,/title/tt0068132/,6.4,331,"Drama, Mystery, Thriller",60 min
7,Stop Making Sense,1984,/title/tt0088178/,8.5,10809,"Documentary, Music",88 min
8,Снежное чувство Смиллы,1997,/title/tt0120152/,6.4,12871,"Action, Drama, Mystery",121 min
9,The Sexy Sixth Sense,2001 Video,/title/tt0304694/,4.5,353,"Comedy, Fantasy",69 min
10,Вкус чудес,2015,/title/tt4084056/,6.8,2067,"Comedy, Drama, Romance",100 min
11,Sense and Sensibility,1981– ,/title/tt0089991/,6.8,786,"Drama, Romance",174 min
12,Каникулы на ранчо,1999 TV Movie,/title/tt0219813/,6.4,1404,"Drama, Family",92 min
13,Sense and Sensibility: Deleted Scenes,2002 Video,/title/tt4290888/,8.0,176,"Short, Romance",3 min
14,Пять чувств,1999,/title/tt0168794/,6.8,2928,"Comedy, Drama, Music",106 min
15,The 6th Sense,2011 Video,/title/tt2016299/,7.1,13,"Short, Comedy, Music",13 min
16,A Sense of Freedom,1979,/title/tt0194350/,7.2,381,"Crime, Drama, Thriller",81 min
17,The Seventh Sense,1999,/title/tt0218599/,4.3,149,Drama,98 min
18,Dark Sense,2019,/title/tt4082314/,,,Thriller,93 min
19,Sense and Sensibility,1971– ,/title/tt0254768/,6.8,122,"Drama, Romance",178 min
20,La vida sense la Sara Amat,2019,/title/tt9914942/,,,,
21,5 чувств страха,2013,/title/tt2425886/,4.9,1106,Horror,88 min
22,The Sixth Sense: Reaching the Audience,2000 Video,/title/tt5447508/,8.1,40,Short,4 min
23,Граница пустоты: Сад грешников (фильм третий),2008,/title/tt1155652/,7.4,1145,"Animation, Action, Crime",58 min
24,Пять чувств Эроса,2009,/title/tt1587422/,5.2,329,Drama,130 min
25,Vitamania: The Sense and Nonsense of Vitamins,2018,/title/tt8232232/,6.7,367,Documentary,90 min
26,Sensi,1986,/title/tt0091921/,5.4,104,Thriller,89 min
27,A Sense of Purpose: Fighting for Our Lives,2019,/title/tt5792164/,,,Drama,90 min
28,Sensing Murder,2004– ,/title/tt0805944/,6.4,89,"Crime, Reality-TV",90 min
29,A Sense of Guilt,1990– ,/title/tt0156061/,8.4,48,Drama,50 min
30,Смысл истории,1992 TV Short,/title/tt0105355/,8.2,919,"Short, Comedy, Drama",25 min
31,Sense of Urgency,2017,/title/tt5983362/,5.7,29,Drama,92 min
32,Senses 1&2,2018,/title/tt10174382/,,,Drama,139 min
33,Coming to My Senses,2017,/title/tt6005298/,7.3,40,"Documentary, Adventure, Biography",85 min
34,G.K. Chesterton: The Apostle of Common Sense,2000– ,/title/tt1328189/,8.1,47,"Comedy, History",30 min
35,Seven Senses of the Re'Union,2018– ,/title/tt8343748/,4.9,60,"Animation, Action, Adventure",24 min
36,Sense & Sensibility,2014,/title/tt3347696/,5.3,11,Romance,165 min
37,Sensing Murder,2006– ,/title/tt0805945/,6.0,43,"Crime, Mystery",
38,Grizzly Bear: Losing All Sense,2017 TV Movie,/title/tt7483144/,,,Music,
39,Syxx Sense Interviews,2016– ,/title/tt8199768/,,,Talk-Show,30 min
40,Making Sense of the Sixties,1991– ,/title/tt0318906/,8.7,44,Documentary,
41,Senses 5,2018,/title/tt10174546/,,,Drama,75 min
42,Ayn Rand: A Sense of Life,1997,/title/tt0118662/,6.7,514,"Documentary, Biography",145 min
43,A Sense of Loss,1972,/title/tt0069247/,7.8,40,Documentary,135 min
44,Senses 3&4,2018,/title/tt10174464/,,,Drama,85 min
45,The Sixth Sense: The Actors,2000 Video,/title/tt5447522/,7.1,7,Short,7 min
46,3.11 Sense of Home,2011,/title/tt1939641/,6.5,23,"Documentary, Animation, Drama",75 min
47,Senses,I) (2016,/title/tt5050944/,6.2,11,"Short, Drama",29 min
48,El sexto sentido,1929,/title/tt0020389/,7.0,75,Drama,70 min
49,A Sense of Self,2016 TV Movie,/title/tt6413174/,,,Documentary,55 min
50,Four Senses,2013,/title/tt2330852/,7.4,22,"Comedy, Drama, Romance",
51,The Seventh Sense,2001,/title/tt0433693/,6.6,52,Short,12 min
52,Sense Appeal,2018– ,/title/tt9153436/,,,Reality-TV,
53,Waking Up with Sam Harris,2014– ,/title/tt7735484/,8.8,19,"News, Talk-Show",
54,Den 6. sans,2002– ,/title/tt0341131/,3.2,16,"Family, Game-Show",42 min
55,Perfect Sense,2003,/title/tt0398261/,9.2,25,"Comedy, Short",18 min
56,Felipe Neto: Minha Vida Não Faz Sentido,2017 TV Special,/title/tt6690322/,4.6,150,"Documentary, Comedy",87 min
57,'The Sixth Sense': Reflections from the Set,2002 Video,/title/tt0372529/,6.1,74,"Documentary, Short",39 min
58,I Make Sense of Humour,2010– ,/title/tt1732318/,7.2,29,Comedy,
59,Perfect Sense,2016 TV Movie,/title/tt5821414/,8.8,11,Drama,72 min
60,Making Sense Together,2018,/title/tt8745206/,,,Documentary,67 min
61,Sixth Sense,1985– ,/title/tt3204336/,,,Talk-Show,
62,Uncommon Sense with Charlamagne,2015– ,/title/tt4878206/,6.5,18,Talk-Show,
63,Sense sostre,,/title/tt8090732/,,,Drama,
64,Sense Of Sin,2018,/title/tt7679406/,,,"Short, Drama, Horror",25 min
65,Sense Memory,2006,/title/tt0768810/,4.7,42,"Short, Drama",10 min
66,Barney's Sense-Sational Day,1997 Video,/title/tt9217216/,,,Family,52 min
67,Sense of Morning,2010,/title/tt1730247/,5.6,7,"Short, Drama, News",10 min
68,Lost in a Sense,2016,/title/tt4512856/,,,"Short, Drama",33 min
69,A Sense of Wonder,2008 Video,/title/tt1414803/,8.3,13,Biography,55 min
70,An Assault on the Senses,2019,/title/tt10045036/,,,"Short, Drama",21 min
71,Di liu gan,2003,/title/tt5968430/,,,"Action, Crime, Drama",81 min
72,Malignant Spirits: Sense of Fiction,2014,/title/tt4815968/,,,"Drama, Horror, Mystery",70 min
73,Life Makes Sense If You're Famous,2002,/title/tt0331556/,6.9,78,Short,7 min
74,Bear in the Big Blue House: Bear's Sense of Adventure,1999 Video Game,/title/tt5666504/,,,Adventure,
75,Acid - Delirio dei sensi,1968,/title/tt0062634/,5.9,43,Drama,92 min
76,A Sense of an Ending,2018,/title/tt8550332/,,,Short,16 min
77,Four Senses,2015– ,/title/tt5240892/,,,,
78,Uncommon Sense,2005 TV Movie,/title/tt0790767/,7.2,9,Comedy,30 min
79,Sense,,/title/tt10288038/,,,Thriller,
80,Уникальные способности животных,2014– ,/title/tt4012354/,8.2,30,Documentary,
81,Le sens de l'humour,2013,/title/tt2991026/,6.3,68,"Drama, Romance",87 min
82,Sense & Sensibility: Interview Featurette,2007 Video,/title/tt5649752/,,,"Documentary, Short",30 min
83,A Sense of Humor,2011,/title/tt1765675/,6.9,142,"Short, Comedy",10 min
84,Abunômaru taiken: Dai-roku no seikan,2001,/title/tt1304996/,6.8,8,Horror,60 min
85,The Five Senses,2010,/title/tt1906479/,,,"Short, Drama",8 min
86,Uncommon Sense,II) (2017,/title/tt6065284/,7.6,281,"Documentary, Biography",107 min
87,Animal Senses,2017– ,/title/tt7495948/,,,,30 min
88,Dollars and Sense,1920,/title/tt0011118/,6.3,7,Drama,50 min
89,It All Makes Sense,,/title/tt9125214/,,,"Short, Drama",11 min
90,Sensing Murder: Easy Street,2003 TV Movie,/title/tt0814310/,,,Crime,60 min
91,A Sense of Carol Reed,2006 Video,/title/tt0901690/,7.5,29,"Documentary, Short",24 min
92,The Five Senses of Lust,2015,/title/tt4779824/,,,"Short, Drama",11 min
93,Sense,1998,/title/tt0470528/,,,Drama,90 min
94,Ke Kulana He Mahu: Remembering a Sense of Place,2001,/title/tt0386571/,8.6,5,Documentary,67 min
95,6th Sense,2013,/title/tt2955658/,,,"Short, Horror",3 min
96,4 1/2 Senses,I) (2016,/title/tt5959244/,,,"Short, Drama",20 min
97,Super Senses,2015– ,/title/tt6768630/,8.6,10,Reality-TV,26 min
98,Human Senses,2003– ,/title/tt0372068/,8.1,57,Documentary,
99,The Sixth Sense: A Conversation with M. Night Shyamalan,2000 Video,/title/tt5447524/,,,Short,9 min
100,Le sens du toucher,2014,/title/tt4242174/,7.7,23,"Animation, Short",14 min
101,But It Makes Total Sense,2017,/title/tt7620236/,,,"Short, Crime",
102,Sensing Silence,2017,/title/tt7902866/,,,Short,3 min
103,Sixth Sense,2013,/title/tt3982974/,,,"Short, Horror",3 min
104,Derailed Sense: A Film About Vic Godard & Subway Sect,2012,/title/tt2378856/,,,Documentary,76 min
105,I Sense Danger,2010 Video,/title/tt1647366/,8.6,13,"Adventure, Comedy, Music",62 min
106,Wine Sense,2010– ,/title/tt1866065/,,,History,22 min
107,The Red Sense,2008,/title/tt1482253/,5.0,9,"Drama, Horror, Thriller",80 min
108,Common Sense: AU,2017– ,/title/tt7112142/,5.4,10,Reality-TV,
109,Common Sense Golf,2004 Video,/title/tt0439510/,,,"Comedy, Short",
110,In No Sense,2016,/title/tt5752420/,,,"Short, Drama, Thriller",6 min
111,Six Dollars and One Sense,1997,/title/tt0120140/,,,Comedy,
112,Plain Talk & Common Sense,1987,/title/tt0095876/,7.4,25,,110 min
113,Sense of Urgency,2013 TV Movie,/title/tt2951304/,,,Documentary,
114,You and Your Sense of Touch,1955,/title/tt0230989/,6.6,48,"Animation, Family, Short",8 min
115,"No tiene sentido... estar haciendo así­, todo el rato, sin sentido",2009,/title/tt1209345/,6.4,5,Documentary,60 min
116,Björk: Arisen My Senses,2017 Video,/title/tt7972620/,7.5,20,"Short, Fantasy, Music",5 min
117,Senses of Place,2004,/title/tt0413247/,7.0,14,Drama,95 min
118,Universal Senses,2010 Video,/title/tt1675191/,,,Drama,58 min
119,A Sense of Place,I) (2008,/title/tt1456470/,,,Short,3 min
120,Common Sense Police,2013– ,/title/tt3293154/,7.7,6,Comedy,
121,Sense of Place,1978– ,/title/tt4157474/,,,Drama,30 min
122,Sense of Architecture,2009,/title/tt2023680/,7.2,5,Documentary,168 min
123,Hess-e Penhan,2007,/title/tt2162916/,5.0,60,Drama,78 min
124,6ixth Sense with Colin Fry,2002– ,/title/tt0418364/,5.0,36,Reality-TV,30 min
125,Sense the Wind,2015,/title/tt4590702/,,,"Documentary, Sport",55 min
126,Senses,II) (2016,/title/tt4266772/,,,Drama,75 min
127,"A fideszes zsidó, a nemzeti érzés nélküli anya és a mediáció",2008,/title/tt1324075/,6.6,37,Documentary,72 min
128,The Common Sense of the Wisdom Tree,1999,/title/tt0223023/,,,Family,
129,Growlanser II: The Sense of Justice,2004 Video Game,/title/tt0442782/,8.3,16,"Action, Adventure, Drama",
130,Justin Bieber: No Sense (Purpose: The Movement),2015 Video,/title/tt6330910/,6.8,5,"Short, Music",
131,Dead in a Sense,,/title/tt8640802/,,,Drama,
132,Any Other Sense,2014,/title/tt3659926/,,,"Short, Drama",12 min
133,A Sense of Reality,2013,/title/tt5298436/,,,"Short, Romance",
134,Sense of Scale,2011,/title/tt1959529/,8.3,10,"Documentary, Biography, Sci-Fi",106 min
135,A Sense of Place,,/title/tt8241606/,,,Drama,
136,Stolen Senses,II,/title/tt5726852/,,,"Short, Action, Adventure",
137,Taboo: The Sixth Sense,1989 Video Game,/title/tt3022170/,3.2,5,"Fantasy, Sport",
138,A Sense of Place: Robert Redford on the Sundance Story,2013 TV Short,/title/tt9019222/,,,Short,
139,Sense of Need,2005,/title/tt0867196/,,,Drama,90 min
140,A Sense of Entitlement,2000,/title/tt0205391/,7.3,9,"Comedy, Drama",
141,Coming to My Senses,2004,/title/tt2337694/,,,Short,9 min
142,The Common Sense,2014,/title/tt4494118/,,,Sci-Fi,
143,Music and Sound Design of 'The Sixth Sense',2000 Video,/title/tt5447506/,6.4,5,Short,7 min
144,Making Sense of Place,2007– ,/title/tt1155883/,,,Documentary,
145,Symphony of Senses,2015,/title/tt4460342/,,,"Short, Family",5 min
146,Horse Sense,1924,/title/tt0135455/,,,Western,50 min
147,Does it make any sense? -and if it does- why does it take so long?,2018,/title/tt8711658/,,,Documentary,101 min
148,Où je mets ma pudeur,2013,/title/tt2918338/,6.9,20,"Short, Drama",21 min
149,Un suave olor a canela,2012,/title/tt2124990/,6.3,15,Drama,94 min
150,The Sixth Sense: Rules and Clues,2000 Video,/title/tt5447516/,8.1,7,Short,6 min
151,A False Sense of Security,2016,/title/tt5727686/,,,"Short, Drama",
152,Le Sense of Wonder,2015– ,/title/tt7502206/,,,"Documentary, Sci-Fi",
153,The Seventh Sense,2009 Video,/title/tt2355596/,,,"News, Reality-TV, Romance",
154,Viure sense por,2005 TV Movie,/title/tt0445812/,6.6,9,Drama,90 min
155,Uncommon Sense: The Art & Imagination of Nancy Willard,2003,/title/tt0462052/,,,"Documentary, Short, Fantasy",28 min
156,Perfect Sense: Pure Perfection - Making Perfect Sense,2012 Video,/title/tt2562952/,,,"Documentary, Short",17 min
157,Touch: The Forgotten Sense,2001 TV Movie,/title/tt0903652/,,,Documentary,52 min
158,Sense of Freedom,2017,/title/tt6537962/,,,Documentary,13 min
159,The Dark Side of Sense,1999 Video,/title/tt9387338/,,,"Action, Comedy, Thriller",58 min
160,Senses,2003,/title/tt0414487/,6.7,15,Drama,111 min
161,Glenn Beck's Common Sense Tour,2009,/title/tt1451386/,3.6,73,Comedy,120 min
162,Sense from Siam,2016,/title/tt6449716/,,,,
163,"Art on Film, Program 2: Sense",1992,/title/tt3773756/,,,Documentary,59 min
164,Five Senses,2011 Video,/title/tt6347098/,,,"Short, Romance",
165,Pratyahaar: Withdrawal of Senses,2015,/title/tt5420798/,,,Short,
166,The Sense,2016,/title/tt9218608/,,,Drama,
167,The Five Senses,,/title/tt7608570/,,,Horror,
168,The Psychic Senses Tour,2016 Video,/title/tt5574540/,,,"Short, Reality-TV",30 min
169,Common Sense Farming with Joel Salatin,2013 Video,/title/tt7005734/,,,"Documentary, Short",22 min
170,Searching for Sense,2002,/title/tt0430823/,,,"Documentary, Short",7 min
171,Senses,III) (2018,/title/tt8531540/,,,"Short, Drama, Mystery",36 min
172,Death Makes Sense,2017,/title/tt6973392/,,,"Short, Drama",6 min
173,Poor Sense of Direction,2008,/title/tt1934366/,,,"Short, Comedy, Sci-Fi",8 min
174,Road Sense,1951,/title/tt2892402/,,,"Documentary, Short",29 min
175,Mr. Jack's Artistic Sense,1916,/title/tt0828081/,,,"Short, Comedy",
176,Sense,2015,/title/tt5108518/,,,"Short, Drama, Romance",10 min
177,Sense títol amb Andreu Buenafuente,1995,/title/tt0423734/,8.1,10,Comedy,
178,A Sense of Humanity,2017,/title/tt7762242/,,,"Short, Sci-Fi",5 min
179,Dollars and Sense,1916,/title/tt0006601/,4.6,7,"Comedy, Short",
180,Высокие чувства,2008,/title/tt2325839/,6.6,5,"Short, Drama, Romance",27 min
181,Five Senses of Art,2015,/title/tt4774850/,6.6,18,"Documentary, Short, Music",21 min
182,A Sense of Duty,2006,/title/tt4731090/,,,"Short, Drama",10 min
183,Spanish Insults That Make No Sense,2016,/title/tt9219888/,,,"Short, Comedy",
184,Uncommon Sense,2010,/title/tt1757920/,,,"Documentary, Short",6 min
185,Not So Common Sense,2015– ,/title/tt4757636/,,,Comedy,
186,A Sense of Sound,I) (2015,/title/tt4871648/,,,"Short, Drama",25 min
187,Common Sense with John Stossel,1995 TV Movie,/title/tt0950490/,,,News,
188,Home Sense,1997–1998,/title/tt2225077/,,,Documentary,30 min
189,Lost Senses,2013,/title/tt3044376/,7.0,25,"Animation, Short",6 min
190,Star Trek Beyond: A Warped Sense of Revenge,2016 Video,/title/tt6339066/,6.4,5,"Documentary, Short",5 min
191,Sense & Scentability,1998 TV Movie,/title/tt7547502/,,,Documentary,52 min
192,Common Senses,2005,/title/tt0806047/,6.4,24,Drama,95 min
193,A Sense of Self: Growing Up in Five Points,2016 Video,/title/tt6358258/,,,"Documentary, Biography, History",56 min
194,Bruce Ricker: Sense of Amazement,2011,/title/tt6633876/,,,"Documentary, Short",6 min
195,Spectre of the senses,2015,/title/tt5135800/,,,"Documentary, Short, Drama",8 min
196,Sense Memory,2018,/title/tt8483304/,,,"Short, Drama",5 min
197,Rovelló: Un Nadal sense Noel,2009,/title/tt2264450/,,,,67 min
198,In a Sense,II) (2012,/title/tt2304822/,,,Romance,63 min
199,Thailand: A Feast for the Senses,2014 TV Movie,/title/tt4329254/,,,Adventure,30 min
200,Making Sense of It All,2018,/title/tt8569226/,,,"Documentary, Short",14 min
201,A Sense of Humus,1976,/title/tt0227469/,,,"Short, Documentary",28 min
202,Making Sense & Sensibility with 9 Actors & a Door,,/title/tt9544104/,,,Documentary,
203,North + Sense,2012,/title/tt1996341/,,,"Short, Comedy, Crime",32 min
204,A Sense of Place,II) (2008,/title/tt1600385/,,,"Documentary, Short",28 min
205,Horse Sense,1922,/title/tt0333586/,,,"Comedy, Short",20 min
206,Sense of Home,2008– ,/title/tt1933957/,,,Drama,
207,Senses,2017,/title/tt8175122/,,,"Short, Musical",
208,Dollar$ & Sense: Personal Finance,2001– ,/title/tt3720094/,,,Reality-TV,
209,Cereal Sense,1977,/title/tt5902722/,,,Documentary,50 min
210,Common Sense Brackett,1916,/title/tt0157477/,,,Drama,
211,A Sense of Duty,2009,/title/tt2677556/,,,Short,10 min
212,Sense and Nonsense,1951–1954,/title/tt3315648/,,,Game-Show,30 min
213,The Sense Ritual,2010 Video,/title/tt1866274/,,,"Documentary, Comedy, Music",70 min
214,Dollars and Sense,2011 Video,/title/tt6899034/,,,Short,
215,Stolen Senses,I,/title/tt5374816/,,,"Action, Sci-Fi, Thriller",
216,Phil Lempert's Food Sense,2010 TV Movie,/title/tt1719055/,,,Documentary,57 min
217,Ощущение ночи,2015,/title/tt5000224/,,,"Short, Drama",30 min
218,Sense,I) (2014,/title/tt3647422/,,,"Short, Music, Mystery",4 min
219,A Sense of Place,2012,/title/tt3464332/,,,Documentary,
220,Sense the Silence,2015,/title/tt6915308/,,,Short,
221,Any Sense in Cents?,2009 Video,/title/tt1590805/,,,"Short, Family",7 min
222,Road Sense,1969,/title/tt2172080/,,,"Documentary, Short",16 min
223,"Sense títol, s/n",1998– ,/title/tt0423735/,7.5,12,Comedy,
224,Sense embuts,2008,/title/tt1301027/,,,Documentary,
225,Livrées à leurs sens,2015,/title/tt3842364/,,,"Short, Drama",17 min
226,Scents and Dog Sense,1927,/title/tt1021104/,,,"Documentary, Short, Sport",
227,Sense + Innocence,2010,/title/tt1676201/,6.5,8,"Short, Comedy, Drama",4 min
228,No Sense Crying Over Spilled... Murder,2015,/title/tt5583640/,,,Short,
229,Sense: A Small Tribute to Federico Fellini,2012,/title/tt6950316/,9.4,9,Short,
230,Running for Sense,2013,/title/tt2960970/,,,"Short, Comedy",6 min
231,Creation in Common Sense with Eric Hovind,2008–2009,/title/tt3077630/,,,"Short, Talk-Show",
232,La dona sense ànima,2006,/title/tt1774454/,,,Drama,65 min
233,Dir en Grey: Tour 09 - Feast of V Senses,2009 Video,/title/tt4872458/,,,Music,
234,Sense of Sentiment,2017,/title/tt7217582/,,,"Short, Drama",14 min
235,Sense or Nonsense,1966 TV Short,/title/tt0856266/,,,Short,
236,Losing Senses,2015,/title/tt2955724/,,,"Short, Mystery",6 min
237,No Sense,2007,/title/tt1134617/,,,"Short, Comedy, Drama",13 min
238,Common Sense Police,2014 Video,/title/tt4163430/,,,"Short, Action, Comedy",7 min
239,A Nation of Common Sense,1975,/title/tt0209179/,,,,
240,Uncommon Sense,III) (2017,/title/tt7285108/,,,"Short, Drama, Thriller",15 min
241,Uncommon Sense,2007–2010,/title/tt2372129/,,,Talk-Show,30 min
242,Per un futur sense Alzheimer,2013 TV Special,/title/tt3430368/,,,Music,128 min
243,Smart Sense Influence,2018 Video,/title/tt9117710/,,,"Documentary, Short",
244,No Sense,2017,/title/tt8976726/,,,"Animation, Short, Comedy",1 min
245,Dollars and Sense,2005–2006,/title/tt6768196/,,,Reality-TV,
246,Making Sense with Sentences,1975,/title/tt3496800/,1.9,12,Short,15 min
247,Illinois Prairie a Sense of Place,1986 Video,/title/tt3497886/,,,"Documentary, Short",28 min
248,To Sense the Wonder,1980,/title/tt0227660/,,,"Documentary, Short",28 min
249,A Sense of Wonder,2013,/title/tt3806758/,,,,84 min
250,A Sense of Wonder,2013,/title/tt3806758/,,,,84 min
251,A Sense of Place,1976,/title/tt0227470/,,,Documentary,57 min
252,Living Gallery of Sympathetic Senses,2013,/title/tt3385442/,,,"Short, Fantasy",10 min
253,Sense and Suggestibility,2011,/title/tt2047853/,,,"Documentary, Short",
254,HipHop Aesthetics: The 5 Senses,2009,/title/tt3958884/,,,Documentary,
255,Sense & Sustainability: Is a Species Set on Endless Growth Sustainable?,2015,/title/tt5932924/,,,Documentary,80 min
256,Beyond Senses,,/title/tt4876872/,,,"Short, Romance",
257,Felt Sense,2016,/title/tt5878550/,,,Short,3 min
258,A Sense of Humor,1913,/title/tt1161057/,,,"Short, Comedy",
259,Common Sense AKA Kalam Badeehi,2017– ,/title/tt7757854/,,,Comedy,
260,Switchback: Trigger Your Senses,2010 Video,/title/tt1772366/,,,"Documentary, Action, Adventure",43 min
261,Alan Keyes Is Making Sense,2002– ,/title/tt0307714/,3.5,10,Talk-Show,60 min
262,The Sense of Feeling,2015,/title/tt8523796/,,,"Documentary, Short",2 min
263,Sculptures That Lost the Sense of Time,2015,/title/tt4056420/,,,Short,
264,The Comedy Christmas Short That Really Doesn't Make Any Sense,2018,/title/tt9480672/,,,"Short, Comedy",13 min
265,7awas,2010,/title/tt2798684/,,,"Short, Drama",15 min
266,Does It Make Sense When It Doesn't Make Sense?!,2008,/title/tt6317036/,,,"Documentary, Short, Biography",29 min
267,Senses,II) (2018,/title/tt8474230/,,,"Short, Drama",5 min
268,Sense No Evil,2017,/title/tt7012320/,,,"Short, Horror, Thriller",15 min
269,A Sense of Belonging,1962,/title/tt2162561/,,,Documentary,50 min
270,"Kubrick, Beyond the Senses",2013,/title/tt3426256/,,,"Short, Biography",
271,A False Sense of Bravado,2017,/title/tt7932362/,,,"Short, Drama",1 min
272,Braincandy: My Five Senses,2004 Video,/title/tt0436141/,,,"Short, Family, Fantasy",40 min
273,The Seismic Sense: How Animals Predict Earthquakes,2012,/title/tt6290000/,,,Documentary,52 min
274,Love and Sense,I) (2011,/title/tt3431734/,,,Short,
275,Sense Memory,,/title/tt4060856/,,,"Short, Thriller",40 min
276,Pet smyslu cloveka,1913,/title/tt1075008/,5.1,20,"Short, Comedy",5 min
277,Sense of Japan,2008– ,/title/tt3126248/,,,,5 min
278,Videoclip Sense Sal: És aquesta nit,2017,/title/tt7119538/,,,"Short, Comedy",
279,Love and Sense,II) (2011,/title/tt3431740/,,,Short,
280,Sense Control,2010 Video,/title/tt1834291/,9.2,17,"Short, Comedy, Music",10 min
281,Senses,2012,/title/tt8846388/,,,Horror,
282,Come to Your Senses,2014,/title/tt4424810/,,,"Short, Drama, Family",26 min
283,The Body Human: The Magic Sense,1979 TV Movie,/title/tt0336060/,,,"Documentary, Sport",60 min
284,Des d'Egipte (sense tu),2012– ,/title/tt2366865/,,,Adventure,
285,Sense of Gravity,2003 TV Short,/title/tt0382969/,,,"Musical, Short",8 min
286,Senses,2007 Video,/title/tt1553300/,,,"Animation, Short",4 min
287,Earth Sense,2004 Video,/title/tt1549773/,,,"Documentary, Family",19 min
288,A Sense of Smell,2000,/title/tt0286066/,,,"Documentary, Short",
289,Sense of Identity,2017,/title/tt7948168/,,,Documentary,69 min
290,Odd Sense,2015,/title/tt5127570/,,,"Short, Drama, Romance",7 min
291,A Sense of Place: The Artist and the American Land,1980 TV Movie,/title/tt4550070/,,,Documentary,60 min
292,A Sense of Reality,2010,/title/tt1735285/,,,"Documentary, Short, Biography",13 min
293,Senses,III,/title/tt3581852/,,,"Short, Drama",7 min
294,La ciutat sense ponts,1992,/title/tt0765019/,,,Short,16 min
295,Sense,2001,/title/tt2078721/,8.0,5,"Short, Mystery",
296,Making Sense,2012,/title/tt2623864/,,,"Documentary, Short, Drama",10 min
297,Common Sense 2,2005 Video,/title/tt1017898/,,,Comedy,
298,My 2c that may make NO sense,2018– ,/title/tt8531724/,,,Short,
299,Sense of Place Ii,2018 TV Short,/title/tt8612838/,,,"Documentary, Short, Biography",44 min
300,"I feel blue, they sense rose",2017,/title/tt8235642/,,,Short,9 min
301,"Tortell Poltrona, sense fronteres",2016,/title/tt6217682/,,,Documentary,
302,Horse Sense,2013,/title/tt2826738/,,,Short,23 min
303,Sense of Nature,2012,/title/tt2861516/,,,"Documentary, Short, Biography",21 min
304,Sense of Life,2006,/title/tt2062635/,,,"Documentary, Short",
305,Sense tele,2007– ,/title/tt1064848/,,,Reality-TV,
306,Eight Steps to Peace: Does Disarmement Make Sense,1957,/title/tt3570170/,,,"Documentary, Short",
307,Refab: Recycling Textiles Makes Sense,2011,/title/tt2137230/,,,"Documentary, Short",
308,I Go to War with Everything That Doesn't Make Sense in a Bathtub,2009,/title/tt1470621/,,,"Short, Drama",11 min
309,Senses,IV,/title/tt4984774/,,,Thriller,
310,Salt sense xarxa,2004,/title/tt0470522/,,,"Documentary, Short",30 min
311,Street Sense,2009 Video,/title/tt1500951/,,,"Documentary, Biography, Drama",29 min
312,It's Sound Sense,1978,/title/tt2177591/,,,"Documentary, Short",11 min
313,Horse Sense and Soldiers,2010 TV Movie,/title/tt1716748/,,,Documentary,
314,Laura Bush Hypocritically Weighs in on the Immigration Situation as Melania Urges Sense,2018 Video,/title/tt8580982/,,,"Short, News",13 min
315,Amb llengua o sense,2003 TV Movie,/title/tt0431609/,,,Comedy,30 min
